Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615392	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS513		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	LS513		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615393	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS411N		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	LS411N		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615394	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU99		lung giant cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000332	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LU99		lung giant cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000332	Yes
SRR8615395	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU65		lung giant cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000332	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LU65		lung giant cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000332	Yes
SRR8615396	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS1034	http://www.ebi.ac.uk/efo/EFO_0002226	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	LS1034	http://www.ebi.ac.uk/efo/EFO_0002226	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615397	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LP-1	http://www.ebi.ac.uk/efo/EFO_0003055	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		LP-1	http://www.ebi.ac.uk/efo/EFO_0003055	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615398	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS 180	http://www.ebi.ac.uk/efo/EFO_0006640	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	LS 180	http://www.ebi.ac.uk/efo/EFO_0006640	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615399	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS123		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	LS123		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615400	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LN-319		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	LN-319		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8615401	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LXF-289	http://www.ebi.ac.uk/efo/EFO_0006641	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LXF-289	http://www.ebi.ac.uk/efo/EFO_0006641	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615402	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LUDLU-1		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LUDLU-1		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8615403	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LN-308		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	LN-308		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8615404	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AGS	http://www.ebi.ac.uk/efo/EFO_0002109	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	AGS	http://www.ebi.ac.uk/efo/EFO_0002109	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615405	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	papillary renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000640	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	papillary renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000640	Yes
SRR8615406	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ACC-MESO-1		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	ACC-MESO-1		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
SRR8615407	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ABC-1	http://www.ebi.ac.uk/efo/EFO_0002813	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	ABC-1	http://www.ebi.ac.uk/efo/EFO_0002813	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615408	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AMO-1	http://www.ebi.ac.uk/efo/EFO_0006534	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		AMO-1	http://www.ebi.ac.uk/efo/EFO_0006534	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615409	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AML-193		childhood acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000330	hematopoietic system and lymphoid system		AML-193		childhood acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000330	Yes
SRR8615410	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AM-38		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	AM-38		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615411	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ALL-SIL	http://purl.obolibrary.org/obo/CLO_0037168	childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		ALL-SIL	http://purl.obolibrary.org/obo/CLO_0037168	childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8615412	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AsPC-1	http://www.ebi.ac.uk/efo/EFO_0002112	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	AsPC-1	http://www.ebi.ac.uk/efo/EFO_0002112	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615413	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AN3 CA		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	AN3 CA		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615414	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 294T	http://www.ebi.ac.uk/efo/EFO_0006585	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	Hs 294T	http://www.ebi.ac.uk/efo/EFO_0006585	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615415	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 281.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 281.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615416	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 274.T		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 274.T		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
SRR8615417	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 255.T	http://www.ebi.ac.uk/efo/EFO_0006584	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 255.T	http://www.ebi.ac.uk/efo/EFO_0006584	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615418	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 606.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 606.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615419	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 600.T		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 600.T		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615420	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	Hs 578T	http://www.ebi.ac.uk/efo/EFO_0001192	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8615421	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 343.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 343.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615422	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L24	http://purl.obolibrary.org/obo/CLO_0002588	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L24	http://purl.obolibrary.org/obo/CLO_0002588	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615423	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L279	http://www.ebi.ac.uk/efo/EFO_0002143	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L279	http://www.ebi.ac.uk/efo/EFO_0002143	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615424	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 616.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 616.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615425	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L23	http://purl.obolibrary.org/obo/CLO_0002585	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L23	http://purl.obolibrary.org/obo/CLO_0002585	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
SRR8615426	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L88	http://www.ebi.ac.uk/efo/EFO_0002144	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L88	http://www.ebi.ac.uk/efo/EFO_0002144	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615427	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L95	http://purl.obolibrary.org/obo/CLO_0002595	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L95	http://purl.obolibrary.org/obo/CLO_0002595	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615428	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L311	http://purl.obolibrary.org/obo/CLO_0002591	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L311	http://purl.obolibrary.org/obo/CLO_0002591	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615429	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COR-L47	http://www.ebi.ac.uk/efo/EFO_0006556	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	COR-L47	http://www.ebi.ac.uk/efo/EFO_0006556	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615430	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RVH-421		metastatic melanoma	http://www.ebi.ac.uk/efo/EFO_0002617	skin	http://purl.obolibrary.org/obo/UBERON_0000014	RVH-421		metastatic melanoma	http://www.ebi.ac.uk/efo/EFO_0002617	Yes
SRR8615431	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RT4	http://www.ebi.ac.uk/efo/EFO_0006480	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		RT4	http://www.ebi.ac.uk/efo/EFO_0006480	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615432	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RT-112	http://www.ebi.ac.uk/efo/EFO_0006479	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		RT-112	http://www.ebi.ac.uk/efo/EFO_0006479	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615433	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RS-5		sarcomatoid mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000521	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	RS-5		sarcomatoid mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000521	Yes
SRR8615434	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RS4;11		adult B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001935	hematopoietic system and lymphoid system		RS4;11		adult B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001935	Yes
SRR8615435	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI-8402		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		RPMI-8402		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8615436	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Panc 03.27	http://www.ebi.ac.uk/efo/EFO_0006467	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Panc 03.27	http://www.ebi.ac.uk/efo/EFO_0006467	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615437	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI-7951	http://www.ebi.ac.uk/efo/EFO_0005712	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	RPMI-7951	http://www.ebi.ac.uk/efo/EFO_0005712	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615438	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RMUG-S	http://www.ebi.ac.uk/efo/EFO_0006747	ovarian mucinous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001963	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	RMUG-S	http://www.ebi.ac.uk/efo/EFO_0006747	ovarian mucinous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001963	Yes
SRR8615439	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RMG-I	http://www.ebi.ac.uk/efo/EFO_0006746	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	RMG-I	http://www.ebi.ac.uk/efo/EFO_0006746	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	Yes
SRR8615440	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NU-DHL-1		diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		NU-DHL-1		diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615441	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NU-DUL-1	http://www.ebi.ac.uk/efo/EFO_0006700	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		NU-DUL-1	http://www.ebi.ac.uk/efo/EFO_0006700	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615442	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NMC-G1		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	NMC-G1		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8615443	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NOMO-1		adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	hematopoietic system and lymphoid system		NOMO-1		adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	Yes
SRR8615444	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NHAHTDD		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	NHAHTDD		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	Yes
SRR8615445	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR-3	http://www.ebi.ac.uk/efo/EFO_0003061	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OVCAR-3	http://www.ebi.ac.uk/efo/EFO_0003061	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615446	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCO2		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		NCO2		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615447	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NH-6		adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	autonomic ganglion		NH-6		adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	Yes
SRR8615448	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SU-DHL-1	http://www.ebi.ac.uk/efo/EFO_0005461	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0003032	hematopoietic system and lymphoid system		SU-DHL-1	http://www.ebi.ac.uk/efo/EFO_0005461	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0003032	Yes
SRR8615449	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NUGC-2	http://www.ebi.ac.uk/efo/EFO_0006701	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	NUGC-2	http://www.ebi.ac.uk/efo/EFO_0006701	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615450	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NUGC-3	http://www.ebi.ac.uk/efo/EFO_0006702	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	NUGC-3	http://www.ebi.ac.uk/efo/EFO_0006702	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615451	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC-56		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	HCC-56		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615452	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC70	http://www.ebi.ac.uk/efo/EFO_0001181	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC70	http://www.ebi.ac.uk/efo/EFO_0001181	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
SRR8615453	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC461	http://www.ebi.ac.uk/efo/EFO_0003134	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC461	http://www.ebi.ac.uk/efo/EFO_0003134	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615454	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC515	http://www.ebi.ac.uk/efo/EFO_0003135	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC515	http://www.ebi.ac.uk/efo/EFO_0003135	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615455	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC4006	http://www.ebi.ac.uk/efo/EFO_0003132	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC4006	http://www.ebi.ac.uk/efo/EFO_0003132	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615456	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC-44	http://www.ebi.ac.uk/efo/EFO_0003133	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC-44	http://www.ebi.ac.uk/efo/EFO_0003133	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615457	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC-366	http://www.ebi.ac.uk/efo/EFO_0003131	adenosquamous lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000233	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC-366	http://www.ebi.ac.uk/efo/EFO_0003131	adenosquamous lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000233	Yes
SRR8615458	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
SRR8615459	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615460	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC-78	http://www.ebi.ac.uk/efo/EFO_0003136	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC-78	http://www.ebi.ac.uk/efo/EFO_0003136	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC827 GR5		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC827 GR5		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615462	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H747	http://www.ebi.ac.uk/efo/EFO_0002303	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	NCI-H747	http://www.ebi.ac.uk/efo/EFO_0002303	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615463	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE 441.T		rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	soft tissue		TE 441.T		rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	Yes
SRR8615464	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-1		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-1		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615465	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H727	http://www.ebi.ac.uk/efo/EFO_0006695	lung carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_1000037	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H727	http://www.ebi.ac.uk/efo/EFO_0006695	lung carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_1000037	Yes
